Team_Name,Player_Name,eligible_positions,Cost,Player_ID,IDfg
The ShapeShifters,Josh Hader,RP,$21,623352,14212
The ShapeShifters,Trea Turner,SS,$56,607208,16252
The ShapeShifters,Jose Ramirez,3B,$49,542432,10171
The ShapeShifters,Bo Naylor,C,$5,666310,21865
The ShapeShifters,Grayson Rodriguez,SP,$20,680570,24492
The ShapeShifters,Hunter Greene,SP,$13,668881,22182
The ShapeShifters,Anthony Santander,"1B,RF",$10,623993,14551
The ShapeShifters,Cristian Javier,SP,$9,664299,17606
The ShapeShifters,Justin Verlander,SP,$8,434378,8700
The ShapeShifters,Justin Turner,"1B,2B,3B",$7,457759,5235
The ShapeShifters,Sean Manaea,"SP,RP",$2,640455,15873
The ShapeShifters,Jack Flaherty,SP,$1,656427,17479
The ShapeShifters,Parker Meadows,CF,$1,678009,23800
The ShapeShifters,Andrew Nardi,RP,$1,677053,25942
The ShapeShifters,Yuki Matsui,P,$1,673513,
The ShapeShifters,Aroldis Chapman,RP,$2,547973,10233
The ShapeShifters,Gavin Stone,SP,$2,694813,27792
The ShapeShifters,Abner Uribe,RP,$1,682842,25327
The ShapeShifters,Ranger Suarez,SP,$1,624133,17277
The ShapeShifters,Jake Burger,3B,$10,669394,22275
The ShapeShifters,Yordan Alvarez,LF,$40,670541,19556
Tenacious D,Francisco Lindor,SS,$32,596019,12916
Tenacious D,Camilo Doval,RP,$18,666808,21992
Tenacious D,Chris Sale,SP,$18,519242,10603
Tenacious D,Christian Encarnacion-Strand,1B,$20,687952,30011
Tenacious D,Craig Kimbrel,RP,$12,518886,6655
Tenacious D,Josh Lowe,"CF,RF",$18,666139,19953
Tenacious D,Marcell Ozuna,LF,$12,542303,10324
Tenacious D,Josh Jung,3B,$14,673962,26299
Tenacious D,Shane Bieber,SP,$16,669456,19427
Tenacious D,Kyle Harrison,SP,$8,690986,27758
Tenacious D,Michael King,"SP,RP",$14,543859,10315
Tenacious D,Alec Bohm,"1B,3B",$10,664761,21618
Tenacious D,Willson Contreras,C,$8,575929,11609
Tenacious D,Triston McKenzie,SP,$7,663474,18000
Tenacious D,Tyler O'Neill,"LF,CF",$6,641933,15711
Tenacious D,Hunter Harvey,RP,$7,640451,15507
Tenacious D,Luis Rengifo,"2B,3B,SS,RF",$6,650859,19858
Tenacious D,Jorge Polanco,"2B,3B",$9,593871,13152
Tenacious D,Luke Raley,"1B,LF,CF,RF",$1,670042,19354
Tenacious D,Frankie Montas,RP,$3,593423,14309
Tenacious D,Jason Adam,RP,$3,592094,11861
Steel City Sluggers,Ozzie Albies,2B,$43,645277,16556
Steel City Sluggers,Logan Webb,SP,$29,657277,17995
Steel City Sluggers,Paul Goldschmidt,1B,$26,502671,9218
Steel City Sluggers,Framber Valdez,SP,$24,664285,17295
Steel City Sluggers,Jordan Romano,RP,$16,605447,16122
Steel City Sluggers,Chris Bassitt,SP,$12,605135,12304
Steel City Sluggers,Yu Darvish,SP,$10,506433,13074
Steel City Sluggers,Merrill Kelly,SP,$11,518876,11156
Steel City Sluggers,Mitch Keller,SP,$8,656605,17594
Steel City Sluggers,Adbert Alzolay,RP,$10,640470,17859
Steel City Sluggers,Ke'Bryan Hayes,3B,$10,663647,18577
Steel City Sluggers,Andrew Benintendi,LF,$1,643217,17901
Steel City Sluggers,Yimi Garcia,RP,$1,554340,12095
Steel City Sluggers,Kris Bryant,"1B,RF",$1,592178,15429
Steel City Sluggers,Joel Payamps,RP,$2,606303,14332
Steel City Sluggers,Ceddanne Rafaela,"SS,CF",$1,678882,24262
Steel City Sluggers,Joey Meneses,1B,$1,608841,14366
Steel City Sluggers,Paul Skenes,SP,$1,122002,1011747
Steel City Sluggers,Andrew Painter,SP,$0,120183,1675
Steel City Sluggers,Adley Rutschman,C,$20,668939,26288
Steel City Sluggers,Bobby Witt,SS,$33,677951,25764
Steel City Sluggers,Clayton Kershaw,SP,$0,477132,2036
Steel City Sluggers,Kevin Ginkel,SP,$0,656464,19876
Mary's Little Lambs,Freddie Freeman,1B,$57,518692,5361
Mary's Little Lambs,Adolis Garcia,"CF,RF",$31,666969,19287
Mary's Little Lambs,Jose Altuve,2B,$33,514888,5417
Mary's Little Lambs,Bryan Reynolds,"LF,CF",$21,668804,19326
Mary's Little Lambs,Dansby Swanson,SS,$16,621020,18314
Mary's Little Lambs,Yandy Diaz,"1B,3B",$16,650490,16578
Mary's Little Lambs,Jose Berrios,SP,$10,110624,1000604
Mary's Little Lambs,Kodai Senga,SP,$5,673540,31838
Mary's Little Lambs,Whit Merrifield,"2B,LF",$2,593160,11281
Mary's Little Lambs,Scott Effross,RP,$1,664123,18384
Mary's Little Lambs,Miles Mikolas,SP,$3,571945,9803
Mary's Little Lambs,JP Sears,SP,$1,676664,23429
Mary's Little Lambs,Yusei Kikuchi,SP,$2,579328,20633
Mary's Little Lambs,Travis d'Arnaud,C,$1,518595,7739
Mary's Little Lambs,Adam Ottavino,RP,$1,493603,1247
Mary's Little Lambs,Bryan Abreu,RP,$2,650556,16609
Mary's Little Lambs,Jon Gray,SP,$2,592351,14916
Mary's Little Lambs,Ricky Tiedemann,SP,$1,133342,1407
Mary's Little Lambs,Edwin Diaz,RP,$10,621242,14710
Mary's Little Lambs,Evan Carter,LF,$10,694497,27790
Mary's Little Lambs,Shohei Ohtani,Util,$30,660271,19755
Mary's Little Lambs,Colin Poche,RP,$0,621363,19403
Mary's Little Lambs,Tim Mayza,RP,$0,641835,15042
Yellow&Black Attack,Sonny Gray,SP,$10,543243,12768
Yellow&Black Attack,Gerrit Cole,SP,$6,543037,13125
Yellow&Black Attack,Thairo Estrada,"2B,SS",$10,642731,16426
Yellow&Black Attack,James Outman,"LF,CF",$9,681546,24770
Yellow&Black Attack,Rhys Hoskins,1B,$10,656555,16472
Yellow&Black Attack,Ezequiel Tovar,SS,$9,678662,24064
Yellow&Black Attack,Cal Raleigh,C,$9,663728,21534
Yellow&Black Attack,Francisco Alvarez,C,$7,682626,26121
Yellow&Black Attack,Steven Kwan,LF,$6,680757,24610
Yellow&Black Attack,Walker Buehler,SP,$7,621111,19374
Yellow&Black Attack,Tommy Edman,"2B,SS,CF,RF",$5,669242,19470
Yellow&Black Attack,Jarred Kelenic,"LF,CF,RF",$4,672284,22558
Yellow&Black Attack,Andrew Vaughn,1B,$3,683734,26197
Yellow&Black Attack,David Robertson,RP,$2,502085,8241
Yellow&Black Attack,Andrew Abbott,SP,$2,671096,29911
Yellow&Black Attack,DJ LeMahieu,"1B,2B,3B",$1,518934,9874
Yellow&Black Attack,Luis Severino,SP,$1,622663,15890
Yellow&Black Attack,Jorge Lopez,RP,$2,605347,14527
Yellow&Black Attack,Zach Neto,SS,$1,687263,31347
Yellow&Black Attack,Brendan Rodgers,2B,$1,663898,17907
Yellow&Black Attack,Leody Taveras,CF,$3,665750,18900
PJ Shuffle,Luis Robert,CF,$30,673357,20043
PJ Shuffle,Teoscar Hernandez,RF,$15,606192,13066
PJ Shuffle,Yainer Diaz,"C,1B",$10,673237,23003
PJ Shuffle,Nico Hoerner,"2B,SS",$24,663538,21479
PJ Shuffle,Isaac Paredes,"1B,2B,3B",$8,670623,20036
PJ Shuffle,Andres Gimenez,2B,$14,665926,19950
PJ Shuffle,Joe Musgrove,SP,$17,605397,12970
PJ Shuffle,David Bednar,RP,$14,670280,19569
PJ Shuffle,Ryan Helsley,RP,$15,664854,18138
PJ Shuffle,Pete Fairbanks,RP,$12,664126,17998
PJ Shuffle,Eloy Jimenez,RF,$9,650391,17484
PJ Shuffle,Nathan Eovaldi,SP,$8,543135,9132
PJ Shuffle,Chas McCormick,"LF,CF,RF",$11,676801,19599
PJ Shuffle,Taylor Ward,LF,$4,621493,17548
PJ Shuffle,Ryan Pepiot,"SP,RP",$4,686752,26221
PJ Shuffle,Jared Jones,SP,$1,116709,1006583
PJ Shuffle,Mason Miller,SP,$4,695243,31757
PJ Shuffle,A.J. Minter,RP,$13,621345,18655
PJ Shuffle,Zach Eflin,SP,$11,621107,13774
PJ Shuffle,Elly De La Cruz,"3B,SS",$12,682829,26668
PJ Shuffle,Matt McLain,"2B,SS",$10,680574,29695
Spare Parts Too,Alex Bregman,3B,$24,608324,17678
Spare Parts Too,Vinnie Pasquantino,1B,$21,686469,27676
Spare Parts Too,Ha-Seong Kim,"2B,3B,SS",$19,673490,27506
Spare Parts Too,J.T. Realmuto,C,$18,592663,11739
Spare Parts Too,Luis Castillo,SP,$28,112116,513
Spare Parts Too,Christian Yelich,LF,$23,592885,11477
Spare Parts Too,Jazz Chisholm,CF,$21,665862,20454
Spare Parts Too,Kyle Schwarber,LF,$17,656941,16478
Spare Parts Too,Jose Leclerc,RP,$7,600917,14524
Spare Parts Too,Casey Mize,SP,$6,663554,20492
Spare Parts Too,Willy Adames,SS,$9,642715,15986
Spare Parts Too,Jordan Lyles,SP,$2,543475,7593
Spare Parts Too,Marcus Stroman,SP,$4,573186,13431
Spare Parts Too,Kenta Maeda,SP,$3,628317,18498
Spare Parts Too,Will Benson,"LF,RF",$2,666181,21853
Spare Parts Too,MacKenzie Gore,SP,$2,669022,22201
Spare Parts Too,James Paxton,SP,$1,572020,11828
Spare Parts Too,Michael Lorenzen,"SP,RP",$1,547179,14843
Spare Parts Too,Evan Phillips,RP,$14,623465,17734
Spare Parts Too,Nick Castellanos,RF,$22,592206,11737
Spare Parts Too,Triston Casas,1B,$16,671213,22514
Big Daddy's Funk,Bo Bichette,SS,$36,666182,19612
Big Daddy's Funk,Juan Soto,LF,$54,665742,20123
Big Daddy's Funk,Mike Trout,CF,$23,545361,10155
Big Daddy's Funk,Nolan Jones,"1B,LF,RF",$26,666134,20529
Big Daddy's Funk,Seiya Suzuki,RF,$16,673548,30116
Big Daddy's Funk,Max Fried,SP,$23,608331,13743
Big Daddy's Funk,Justin Steele,SP,$14,657006,17312
Big Daddy's Funk,Bailey Ober,SP,$12,641927,21224
Big Daddy's Funk,Masataka Yoshida,LF,$10,807799,31837
Big Daddy's Funk,Christopher Morel,"2B,CF,RF",$12,666624,21897
Big Daddy's Funk,Eduardo Rodriguez,SP,$6,593958,13164
Big Daddy's Funk,Shota Imanaga,SP,$9,640455,15873
Big Daddy's Funk,Kyle Finnegan,RP,$3,640448,15009
Big Daddy's Funk,MJ Melendez,"C,LF,RF",$4,669004,22197
Big Daddy's Funk,Carlos Estevez,RP,$4,608032,14542
Big Daddy's Funk,Griffin Jax,RP,$2,643377,20253
Big Daddy's Funk,Eugenio Suarez,3B,$2,553993,12552
Big Daddy's Funk,Chris Martin,RP,$1,455119,11847
Big Daddy's Funk,Jacob deGrom,SP,$1,594798,10954
Big Daddy's Funk,Caleb Ferguson,"SP,RP",$1,657571,19349
Big Daddy's Funk,Erik Swanson,RP,$1,657024,16587
Springfield Isotopes,Mookie Betts,"2B,SS,RF",$63,605141,13611
Springfield Isotopes,Austin Riley,3B,$46,663586,18360
Springfield Isotopes,Cody Bellinger,"1B,CF",$27,641355,15998
Springfield Isotopes,Will Smith,C,$18,669257,19197
Springfield Isotopes,Bobby Miller,SP,$17,676272,27483
Springfield Isotopes,Ryan Pressly,RP,$17,519151,7005
Springfield Isotopes,Alexis Diaz,RP,$16,664747,21132
Springfield Isotopes,TJ Friedl,"LF,CF",$12,670770,19522
Springfield Isotopes,Ryan Mountcastle,1B,$7,663624,18373
Springfield Isotopes,Nick Pivetta,"SP,RP",$5,601713,15454
Springfield Isotopes,Starling Marte,RF,$6,516782,9241
Springfield Isotopes,Jeimer Candelario,"1B,3B",$6,600869,13621
Springfield Isotopes,Lourdes Gurriel,LF,$5,666971,19238
Springfield Isotopes,J.P. Crawford,SS,$4,641487,15491
Springfield Isotopes,Aaron Civale,SP,$4,650644,19479
Springfield Isotopes,Emmet Sheehan,SP,$2,686218,29839
Springfield Isotopes,Garrett Whitlock,"SP,RP",$1,676477,20191
Springfield Isotopes,Tim Anderson,SS,$1,641313,15172
Springfield Isotopes,Brendan Donovan,"1B,2B,LF,RF",$1,680977,24679
Springfield Isotopes,Jackson Merrill,SS,$1,701538,
Springfield Isotopes,Harrison Bader,CF,$1,664056,18030
What Can Braun Do 4U,Kyle Tucker,RF,$62,663656,18345
What Can Braun Do 4U,Manny Machado,3B,$30,592518,11493
What Can Braun Do 4U,Josh Naylor,1B,$17,647304,18839
What Can Braun Do 4U,Oneil Cruz,SS,$20,665833,21711
What Can Braun Do 4U,Ketel Marte,2B,$20,606466,13613
What Can Braun Do 4U,William Contreras,C,$20,661388,20503
What Can Braun Do 4U,Carlos Correa,SS,$13,621043,14162
What Can Braun Do 4U,Carlos Rodon,SP,$13,607074,16137
What Can Braun Do 4U,Brandon Nimmo,"LF,CF",$9,607043,12927
What Can Braun Do 4U,Jose Alvarado,RP,$7,621237,17780
What Can Braun Do 4U,Jack Suwinski,"LF,CF,RF",$5,669261,22244
What Can Braun Do 4U,Nick Lodolo,SP,$5,666157,26378
What Can Braun Do 4U,Cristopher Sanchez,SP,$4,650911,20778
What Can Braun Do 4U,Shane Baz,SP,$5,669358,22264
What Can Braun Do 4U,Matt Strahm,"SP,RP",$3,621381,13799
What Can Braun Do 4U,Devin Williams,RP,$1,642207,15816
What Can Braun Do 4U,A.J. Puk,RP,$3,640462,19343
What Can Braun Do 4U,Andrew Kittredge,RP,$1,552640,12828
What Can Braun Do 4U,Trevor Megill,RP,$1,656730,17722
What Can Braun Do 4U,Gabe Speier,RP,$1,642100,17170
What Can Braun Do 4U,Spencer Strider,SP,$20,675911,27498
O'Hoppe Day,Fernando Tatis,RF,$49,665487,19709
O'Hoppe Day,Aaron Nola,SP,$28,605400,16149
O'Hoppe Day,Vladimir Guerrero,1B,$44,665489,19611
O'Hoppe Day,Pablo Lopez,SP,$32,641154,17085
O'Hoppe Day,Wyatt Langford,Util,$13,117477,1007320
O'Hoppe Day,Hunter Brown,SP,$9,686613,25880
O'Hoppe Day,Jackson Chourio,CF,$12,663804,21549
O'Hoppe Day,Maikel Garcia,"3B,SS",$6,672580,22715
O'Hoppe Day,Brandon Drury,"1B,2B",$6,592273,11615
O'Hoppe Day,Jeremy Pena,SS,$7,665161,21636
O'Hoppe Day,Kutter Crawford,"SP,RP",$4,676710,20531
O'Hoppe Day,Reese Olson,SP,$2,681857,24968
O'Hoppe Day,Will Smith,RP,$7,519293,8048
O'Hoppe Day,Emilio Pagan,RP,$1,641941,14771
O'Hoppe Day,Brusdar Graterol,RP,$1,660813,20367
O'Hoppe Day,Brock Stewart,RP,$1,592779,16727
O'Hoppe Day,Matt Wallner,"LF,RF",$1,670242,26466
O'Hoppe Day,Brooks Lee,SS,$1,548384,10061
O'Hoppe Day,Taylor Rogers,RP,$11,573124,13449
O'Hoppe Day,Logan O'Hoppe,C,$11,681351,24729
O'Hoppe Day,Lane Thomas,"CF,RF",$11,657041,16939
O'Hoppe Day,Shohei Ohtani,SP,$0,660271,19755
O'Hoppe Day,Willi Castro,"2B,3B,LF,CF",$0,650489,17338
O'Hoppe Day,Jordan Wicks,SP,$0,696136,30094
Frank in the House,Tyler Glasnow,SP,$21,607192,14374
Frank in the House,Freddy Peralta,SP,$23,642547,18679
Frank in the House,Eury Perez,SP,$17,691587,27768
Frank in the House,Esteury Ruiz,"LF,CF,RF",$11,665923,21780
Frank in the House,Anthony Volpe,SS,$11,683011,27647
Frank in the House,Max Muncy,3B,$9,571970,13301
Frank in the House,Ian Happ,LF,$11,664023,17919
Frank in the House,Nathaniel Lowe,1B,$9,663993,19566
Frank in the House,Jordan Montgomery,SP,$9,656756,16511
Frank in the House,Trevor Story,SS,$5,596115,12564
Frank in the House,Lars Nootbaar,"LF,CF,RF",$5,663457,21454
Frank in the House,Byron Buxton,Util,$5,621439,14161
Frank in the House,Jose Abreu,1B,$4,110030,1000028
Frank in the House,Alex Verdugo,RF,$4,657077,17027
Frank in the House,Gavin Williams,SP,$6,668909,30122
Frank in the House,Braxton Garrett,SP,$4,666129,21844
Frank in the House,Gavin Lux,2B,$1,666158,19955
Frank in the House,Elias Diaz,C,$1,553869,11680
Frank in the House,Robert Stephenson,RP,$1,596112,13594
Frank in the House,Johan Rojas,CF,$3,679032,24336
Frank in the House,Tyler Kinley,RP,$1,641755,18297
My Name is My Name,Michael Harris,CF,$30,671739,25931
My Name is My Name,Gunnar Henderson,"3B,SS",$37,683002,26289
My Name is My Name,Yoshinobu Yamamoto,SP,$25,808967,
My Name is My Name,Clay Holmes,RP,$13,605280,13649
My Name is My Name,Jordan Walker,"LF,RF",$14,691023,27475
My Name is My Name,Nolan Gorman,"2B,3B",$9,669357,22263
My Name is My Name,Bryan Woo,SP,$12,693433,30279
My Name is My Name,Tanner Scott,RP,$14,656945,17586
My Name is My Name,Gabriel Moreno,C,$8,672515,22664
My Name is My Name,Anthony Rizzo,1B,$3,519203,3473
My Name is My Name,Brandon Pfaadt,SP,$10,694297,27782
My Name is My Name,Bryce Miller,SP,$5,682243,29837
My Name is My Name,Matt Chapman,3B,$5,656305,16505
My Name is My Name,Giancarlo Stanton,RF,$5,519317,4949
My Name is My Name,Nestor Cortes,SP,$4,641482,17874
My Name is My Name,Hector Neris,RP,$5,593576,11804
My Name is My Name,Robert Suarez,RP,$14,663158,30115
My Name is My Name,Jung Hoo Lee,Util,$16,275931,1007465
My Name is My Name,Tarik Skubal,SP,$10,669373,22267
My Name is My Name,Jackson Holliday,SS,$0,519425,8524
My Name is My Name,Julio Rodriguez,CF,$21,677594,23697
My Name is My Name,Ian Hamilton,RP,$0,641656,19261
IWU Tang Clan,Aaron Judge,"CF,RF",$52,592450,15640
IWU Tang Clan,Matt Olson,1B,$59,621566,14344
IWU Tang Clan,Rafael Devers,3B,$39,646240,17350
IWU Tang Clan,Corey Seager,SS,$32,608369,13624
IWU Tang Clan,Salvador Perez,"C,1B",$14,521692,7304
IWU Tang Clan,Jeff McNeil,"2B,LF,RF",$11,643446,15362
IWU Tang Clan,George Springer,RF,$16,543807,12856
IWU Tang Clan,Seth Lugo,SP,$2,607625,12447
IWU Tang Clan,Louie Varland,"SP,RP",$2,686973,27691
IWU Tang Clan,Griffin Canning,SP,$2,656288,19867
IWU Tang Clan,Brayan Bello,SP,$2,678394,23920
IWU Tang Clan,Kyle Hendricks,SP,$1,543294,12049
IWU Tang Clan,Clarke Schmidt,SP,$1,657376,19899
IWU Tang Clan,Lance Lynn,SP,$1,458681,2520
IWU Tang Clan,Joe Jimenez,RP,$1,641729,15761
IWU Tang Clan,Julian Merryweather,RP,$1,657240,16703
IWU Tang Clan,DL Hall,RP,$1,669084,22207
IWU Tang Clan,Joe Kelly,RP,$1,116950,1006804
IWU Tang Clan,Orion Kerkering,RP,$1,689147,31776
IWU Tang Clan,Zack Gelof,2B,$10,680869,29766
IWU Tang Clan,Spencer Steer,"1B,2B,3B,LF",$11,668715,26323
IWU Tang Clan,Jasson Dominguez,CF,$0,691176,28080
Holy Toledo!,Pete Alonso,1B,$41,624413,19251
Holy Toledo!,Randy Arozarena,LF,$30,668227,19290
Holy Toledo!,Luis Campusano,C,$7,669134,22217
Holy Toledo!,Logan Gilbert,SP,$24,669302,22250
Holy Toledo!,Paul Sewald,RP,$17,623149,13892
Holy Toledo!,Bryson Stott,2B,$13,681082,26294
Holy Toledo!,Luis Arraez,"1B,2B",$16,650333,18568
Holy Toledo!,Jarren Duran,"LF,CF",$7,680776,24617
Holy Toledo!,Kerry Carpenter,"LF,RF",$8,681481,25961
Holy Toledo!,Lucas Giolito,SP,$2,608337,15474
Holy Toledo!,J.D. Martinez,LF,$6,502110,6184
Holy Toledo!,Junior Caminero,3B,$1,691406,28163
Holy Toledo!,Vaughn Grissom,SS,$1,687093,26031
Holy Toledo!,Michael Busch,3B,$3,683737,26319
Holy Toledo!,Zack Littell,"SP,RP",$2,641793,15823
Holy Toledo!,Reid Detmers,SP,$3,672282,27468
Holy Toledo!,Taj Bradley,SP,$1,671737,22543
Holy Toledo!,Nelson Velazquez,"LF,RF",$1,676369,23359
Holy Toledo!,Cole Ragans,"SP,RP",$10,666142,21846
Holy Toledo!,Spencer Torkelson,1B,$10,679529,27465
Holy Toledo!,Bryce Harper,1B,$19,547180,11579
Holy Toledo!,Tyler Wells,SP,$0,669330,20000
Holy Toledo!,Yennier Cano,RP,$0,666974,25911
Holy Toledo!,Jordan Hicks,RP,$0,663855,19618
Boys of Summer,Kevin Gausman,SP,$23,592332,14107
Boys of Summer,Jonah Heim,C,$8,641680,16930
Boys of Summer,Xander Bogaerts,SS,$28,593428,12161
Boys of Summer,Gleyber Torres,2B,$21,650402,16997
Boys of Summer,Raisel Iglesias,RP,$17,628452,17130
Boys of Summer,Dylan Cease,SP,$17,656302,18525
Boys of Summer,Blake Snell,SP,$16,605483,13543
Boys of Summer,Jesús Luzardo,SP,$27,666200,19959
Boys of Summer,Andres Munoz,RP,$16,662253,20373
Boys of Summer,Nolan Arenado,3B,$30,571448,9777
Boys of Summer,Tanner Bibee,SP,$28,676440,30134
Boys of Summer,Christian Walker,1B,$16,572233,13419
Boys of Summer,Brandon Lowe,2B,$4,664040,18882
Boys of Summer,Max Kepler,RF,$2,596146,12144
Boys of Summer,Joey Gallo,"1B,LF,CF,RF",$1,608336,14128
Boys of Summer,Adam Duvall,"CF,RF",$1,594807,10950
Boys of Summer,Sal Frelick,"CF,RF",$1,686217,29622
Boys of Summer,Jake McCarthy,"CF,RF",$1,664983,21622
Boys of Summer,Bryan De La Cruz,"LF,RF",$1,650559,19600
Boys of Summer,Max Meyer,SP,$1,676974,27474
Boys of Summer,Nolan Schanuel,1B,$1,694384,33189
The Revs.,CJ Abrams,SS,$24,682928,25768
The Revs.,Ronald Acuna,RF,$67,660670,18401
The Revs.,Emmanuel Clase,RP,$21,661403,21032
The Revs.,Sean Murphy,C,$10,669221,19352
The Revs.,Kenley Jansen,RP,$11,445276,3096
The Revs.,Cedric Mullins,CF,$12,656775,17929
The Revs.,Kyle Bradish,SP,$13,680694,24586
The Revs.,Jorge Soler,RF,$11,624585,14221
The Revs.,Jonathan India,2B,$8,663697,21523
The Revs.,Daulton Varsho,"LF,CF",$7,662139,19918
The Revs.,Keibert Ruiz,C,$5,660688,19610
The Revs.,Mitch Garver,C,$4,641598,15161
The Revs.,Charlie Morton,SP,$5,119424,1009231
The Revs.,Jose Siri,CF,$4,642350,17452
The Revs.,Ryan McMahon,"2B,3B",$4,641857,15112
The Revs.,Alex Lange,RP,$5,656638,19883
The Revs.,Josh Bell,1B,$2,458679,2510
The Revs.,Austin Hays,"LF,CF",$2,669720,19363
The Revs.,Max Scherzer,SP,$2,453286,3137
The Revs.,Logan Allen,SP,$1,671106,27589
The Revs.,Colt Keith,"2B,3B",$1,448592,7613
Kirby Puckett,Corbin Burnes,SP,$34,669203,19361
Kirby Puckett,Zack Wheeler,SP,$33,554430,10310
Kirby Puckett,Marcus Semien,2B,$33,543760,12533
Kirby Puckett,Joe Ryan,SP,$22,657746,21390
Kirby Puckett,Zac Gallen,SP,$28,668678,19291
Kirby Puckett,Jhoan Duran,RP,$22,661395,21029
Kirby Puckett,Riley Greene,"CF,RF",$10,682985,25976
Kirby Puckett,Edouard Julien,2B,$9,666397,27534
Kirby Puckett,Jake Fraley,"LF,RF",$1,641584,19260
Kirby Puckett,Brent Rooker,"LF,RF",$1,667670,19627
Kirby Puckett,Javier Baez,SS,$1,595879,12979
Kirby Puckett,Ty France,1B,$1,664034,17982
Kirby Puckett,Alejandro Kirk,C,$1,672386,22581
Kirby Puckett,Garrett Crochet,RP,$1,676979,27463
Kirby Puckett,Henry Davis,RF,$1,680779,29617
Kirby Puckett,Jordan Lawlar,SS,$1,691783,29976
Kirby Puckett,Noelvi Marte,3B,$2,682622,26517
Kirby Puckett,Mitch Haniger,"LF,RF",$1,571745,14274
Kirby Puckett,George Kirby,SP,$28,669923,25436
Kirby Puckett,Royce Lewis,3B,$10,668904,20437
Kirby Puckett,Corbin Carroll,"LF,CF,RF",$20,682998,25878
