full_name,eligible_positions,IDfg
Devin Sweet,RP,25348
Collin Snider,RP,23307
Ronel Blanco,"SP,RP",19407
Nick Lodolo,SP,26378
Bryan Hoeing,"SP,RP",26304
Connor Phillips,SP,27649
Michael Soroka,SP,18383
Triston McKenzie,SP,18000
Josiah Gray,SP,24580
Glenn Otto,RP,21366
Carson Spiers,P,27685
Luis Patiño,RP,22815
Cooper Criswell,RP,24975
Peter Lambert,"SP,RP",17969
Calvin Faucher,"SP,RP",20116
Brandon Pfaadt,SP,27782
Brandon Walter,RP,26056
McKinley Moore,RP,25663
Jeremiah Estrada,RP,22210
Clayton Andrews,RP,1000247
Edward Cabrera,SP,21690
Caleb Kilian,P,26213
Bailey Falter,SP,20070
Sean Hjelle,RP,21481
Shintaro Fujinami,"SP,RP",31839
Matthew Liberatore,"SP,RP",22294
Michael Grove,"SP,RP",23221
Alex Wood,"SP,RP",13781
Wes Parsons,SP,14764
Brandon Bielak,SP,19866
Daniel Bard,RP,7115
Evan Justice,RP,30008
Paul Blackburn,SP,14739
Colin Selby,"SP,RP",24986
José Urquidy,"SP,RP",18413
Amos Willingham,RP,26128
Osvaldo Bido,"SP,RP",23150
Zach Plesac,SP,19979
Levi Stoudt,P,25650
Cody Bolton,RP,23265
Dylan Coleman,RP,22276
Matt Krook,RP,19315
Jackson Kowar,RP,21549
Justin Martinez,RP,24453
Gus Varland,RP,24737
Brady Singer,SP,25377
Jake Irvin,SP,21504
Dakota Hudson,"SP,RP",19206
Patrick Sandoval,SP,19447
Ryne Nelson,SP,26253
David Peterson,"SP,RP",20302
James Naile,RP,18186
Kyle Freeland,SP,16256
Carlos Rodón,SP,16137
Patrick Corbin,SP,9323
Kyle Wright,SP,19665
Austin Gomber,SP,16561
Thaddeus Ward,RP,21513
Jared Shuster,SP,27472
Cal Quantrill,SP,19312
Lyon Richardson,SP,24581
Jordan Lyles,SP,7593
Jesse Scholtens,"SP,RP",19205
Jack Flaherty,SP,17479
Joan Adon,SP,22925
Alec Marsh,"SP,RP",27451
Tylor Megill,SP,21318
Touki Toussaint,SP,16929
Ryan Feltner,SP,21446
Hogan Harris,"SP,RP",21520
Dylan Dodd,SP,29928
Roansy Contreras,"SP,RP",22810
Gavin Stone,SP,27792
Drew Rucinski,SP,12499
Noah Davis,SP,25862
José Suarez,SP,19911
Tyler Anderson,SP,12880
Luis Medina,"SP,RP",1008715
Ryan Weathers,SP,23796
Drew Rom,SP,24602
Luis Severino,SP,15890
Luis L. Ortiz,SP,16942
Quinn Priester,SP,25977
Ken Waldichuk,"SP,RP",27681
Luke Weaver,SP,16918
Trevor Williams,SP,16977
Michael Kopech,SP,17282
Carlos Carrasco,SP,6632
Alek Manoah,SP,26410
Chris Flexen,"SP,RP",13896
Joey Wentz,"SP,RP",19962
Kyle Muller,"SP,RP",20167
Randy Rodríguez,"SP,RP",2586
Ryan Cusick,SP,1002911
Spencer Schwellenbach,SP,1005566
Wikelman Gonzalez,SP,1794
Doug Nikhazy,SP,963
Jaden Hill,SP,1005827
Joe Rock,SP,1009079
Sean Burke,SP,4617
Tanner McDougal,SP,1008472
Jackson Jobe,SP,1775
Ty Madden,SP,1007946
Dylan Smith,SP,1012120
Chayce McDermott,SP,1008446
Jaime Melendez,SP,22197
Frank Mozzicato,SP,1008369
Ben Kudrna,SP,1006192
Ky Bush,SP,1001752
Mason Albright,SP,-1
Alejandro Hidalgo,P,-1
Maddux Bruns,SP,-1
Chase Petty,SP,1010256
Dominic Hamel,SP,26438
Calvin Ziegler,SP,1014435
Brendan Beck,SP,20186
Brock Selvidge,SP,1001420
Anthony Solometo,SP,27647
Bubba Chandler,SP,1001977
Mike Burrows,SP,2932
Robert Gasser,SP,1011453
Victor Lizarraga,SP,1011568
Adam Macko,SP,-1
Michael Morales,SP,1009140
Will Bednar,SP,25660
Michael McGreevy,SP,1008330
Edwin Nunez,RP,-1
Ian Bedell,SP,1000813
Jack Leiter,SP,1007499
Gunnar Hoglund,SP,26289
Sem Robberse,SP,-1
Ricky Tiedemann,SP,1407
Chad Dallas,SP,2170
Mitchell Parker,SP,1009954
Anthony Maldonado,RP,1008015
Davis Martin,"SP,RP",21448
Stephen Strasburg,SP,10131
Moises Gomez,SP,-1
Sean Reynolds,RP,574
Zak Kent,SP,1013828
Colby White,RP,-1
Yosver Zulueta,SP,1014462
Roddery Muñoz,P,1009329
Ben Brown,SP,-1
Josh Simpson,RP,1011996
Chase Hampton,SP,1005288
Mason Fluharty,RP,1253
Jordan Leasure,RP,7593
Jack Perkins,SP,1010204
Connor Cooke,RP,16572
Luis De Avila,SP,2882
Andrew Walters,P,7853
Kade Morris,P,1009205
Alex Clemmey,P,1002411
Garrett Baumann,P,19262
Hunter Owen,P,20034
Sean Sullivan,SP,9137
Josh Knoth,P,3942
Camden Minacci,P,27572
Lance McCullers,SP,1008436
Seth Keener,SP,20493
Blake Wolters,P,1013588
Kyle Carr,P,1001994
Jack Mahoney,P,1013034
Quinn Mathews,P,1008240
Drue Hackenberg,P,1013501
Brady Smith,P,1012195
Landen Maroudis,P,-1
Jackson Baumeister,P,1008736
Isaiah Coupet,P,25551
Bishop Letson,P,1005986
Jake Bloss,SP,1001076
Andrew Lindsey,P,1583
Connor O'Halloran,P,1009750
Blake Treinen,RP,12572
Cole Miller,P,1008906
Nolan McLean,P,1008621
Ty Floyd,P,8536
Grayson Hitt,P,1005864
Zander Mueth,P,1012218
Cade Kuehler,P,14975
Paul Wilson,P,1234
Joe Whitman,SP,1010377
Hurston Waldrep,SP,1013623
Paul Skenes,SP,1011747
Chase Dollander,P,6895
Rhett Lowder,SP,1006415
Tyler Matzek,RP,10058
Noble Meyer,SP,1008831
Thomas White,P,1013877
Charlee Soto,P,1009231
Travis Sykora,P,11982
Cole Schoenwetter,P,1011551
Steven Echavarria,P,1002167
Alonzo Tredwell,P,1010480
Juaron Watts-Brown,P,40
Brandon Sproat,P,27782
Teddy McGraw,P,-1
Hunter Hollan,P,1007308
Tanner Hall,P,19518
Grant Taylor,P,1012885
Jaxon Wiggins,P,-1
Barrett Kent,P,17877
Blake Dickerson,P,12649
George Klassen,P,1002033
Nigel Belgrave,P,1001367
Trevor Harrison,P,1005430
Hiro Wyatt,P,1014304
Cade Denton,P,1003211
Lucas Braun,SP,-1
Cade Smith,P,20190
Joe Ross,SP,12972
Justin Jarvis,SP,10265
DJ Herz,SP,1005554
Jake Eder,SP,1013738
Bradley Blalock,SP,14244
Zach Showalter,SP,10622
Yoshinobu Yamamoto,SP,11651
Keider Montero,SP,20543
Edwin Díaz,RP,14710
Dillon Tate,RP,17796
Erick Fedde,SP,17425
Brady Basso,SP,1000648
Angel Chivilli,RP,-1
Juan Mejia,RP,10341
Yoniel Curet,SP,1002855
Michael Arias,SP,25931
Jose Corniell,SP,1002517
Kai-Wei Teng,SP,31838
Will Klein,RP,12675
Ryan Fernandez,RP,1003999
Justin Slaten,RP,1012469
Josimar Cousin,SP,1002644
Yuki Matsui,P,1659
Woo-Suk Go,RP,15697
Ricardo Yan,SP,1006616
Tyler Owens,P,9134
Luis De León,SP,1003169
Juan Nunez,SP,1000833
Alex Pham,SP,1000707
Angel Bastardo,SP,3243
Yordanny Monegro,SP,1009066
Dalton Rogers,SP,11773
Brody McCullough,SP,1008435
Eric Adler,P,15538
Julian Aguiar,SP,19967
Adam Serwinowski,P,3568
Zach Maxwell,P,-1
Jackson Humphries,SP,1006185
Will Dion,SP,1014112
Jordy Vargas,SP,-1
Rhett Kouba,SP,26123
Trey Dombroski,P,1001481
Jose Fleury,P,1002329
Luinder Avila,SP,7476
Jorge Marcheco,SP,17273
Adrian Acosta,SP,1000034
River Ryan,SP,19891
Payton Martin,SP,1008186
Justin Wrobleski,SP,1002682
Hyun-Seok Jang,P,1007308
Jesus Tillero,SP,1008906
Patrick Monteverde,SP,1009068
Juan De La Cruz,SP,19600
Evan Fitterer,SP,20078
Matt Pushard,P,1006086
Ike Buxton,SP,1010091
Patricio Aquino,SP,15482
Cory Lewis,SP,1259
C.J. Culpepper,SP,5177
Zebby Matthews,SP,1008234
Andrew Morris,SP,17553
Tyler Stuart,SP,6780
Raimon Gomez,P,1004826
Henry Lalane,SP,1007285
Zach Messinger,SP,3193
Carlos Lagrange,SP,-1
Danny Watson,P,1013592
Luis Morales,SP,1009140
Wen Hui Pan,P,1006144
Samuel Aldegheri,SP,-1
Po-Yu Chen,SP,14773
Isaiah Lowe,P,994
Hayden Birdsong,SP,-1
Jeter Martinez,SP,3935
Jimmy Joyce,SP,-1
Aidan Curry,SP,1009384
Winston Santos,SP,20383
Kendry Rojas,SP,-1
Shota Imanaga,SP,15873
Ian Anderson,SP,19951
Jay Groome,SP,1005065
Forrest Whitley,SP,16496
Walker Buehler,SP,19374
Bryan Mata,SP,4230
Brendon Little,RP,21574
Cade Smith,RP,20190
Anthony Molina,SP,1009772
Parker Messick,SP,21324
Landon Sims,SP,-1
Owen Murphy,SP,1009366
JR Ritchie,SP,-1
Cole Phillips,SP,4740
Adam Maier,P,15223
Seth Keller,P,20493
Sixto Sánchez,SP,19680
Shane Baz,SP,22264
Carter Baumler,SP,1001769
Luis Perales,SP,1010175
Shane Drohan,SP,1009047
Cade Horton,SP,1013037
Jackson Ferris,SP,1004016
Porter Hodge,"SP,RP",1005884
Drew Gray,SP,1004966
Justin Campbell,P,1001893
Gabriel Hughes,SP,1006150
Jackson Cox,SP,29832
Carson Palmquist,SP,1009977
Noah Schultz,SP,1011638
Peyton Pallette,SP,1010080
Cristian Mena,SP,728
Jonathan Cannon,SP,14699
Tyler Schweitzer,SP,1011661
Wilmer Flores,SP,5827
Troy Melton,SP,1003979
Brant Hurter,SP,562
Tyler Mattison,RP,12691
Spencer Arrighetti,SP,1005566
Andrew Taylor,SP,7896
Misael Tamarez,SP,7358
Miguel Ullola,SP,19246
Colton Gordon,SP,282
Alimber Santa,SP,1007371
Michael Knorr,SP,14093
Mason Barnett,SP,8219
Chandler Champlain,SP,23552
Noah Cameron,SP,18353
Jake Madden,SP,1007944
Caden Dana,SP,6652
Walbert Urena,SP,6175
Ryan Costeiu,RP,16377
Nick Nastrini,SP,12005
Ronan Kopp,SP,1007015
Casey Mize,SP,20492
Nick Frasso,SP,1004956
Peter Heubeck,SP,1013722
Jacob Misiorowski,SP,267
Carlos Rodriguez,SP,1011101
Logan Henderson,SP,-1
Connor Prielipp,SP,27649
Marco Raya,SP,1118
David Festa,SP,1013799
Blade Tidwell,SP,13543
Mike Vasil,SP,1013309
Joel Diaz,SP,2057
Luis Rodriguez,SP,2364
Christian Scott,P,11145
Will Warren,SP,1013640
Drew Thorpe,SP,6983
Edgar Barclay,RP,5195
Richard Fitts,SP,1003424
Carson Coleman,RP,8270
Royber Salinas,SP,-1
Alex McFarlane,SP,1008487
Christian McGowan,SP,11145
Micah Ottenbreit,SP,5579
Tommy McCollum,RP,1008644
Thomas Harrington,SP,-1
Hunter Barco,SP,25880
Michael Kennedy,SP,13228
Dylan Lesko,SP,1041
Robby Snelling,SP,1123
Adam Mazur,SP,-1
Henry Williams,SP,-1
Huascar Ynoa,SP,20468
Jairo Iriarte,SP,14996
Garrett Hawkins,SP,1790
Ryan Bergert,SP,12138
Jagger Haynes,SP,1005534
Taylor Dollard,SP,17548
JT Brubaker,SP,17578
Carson Whisenhunt,SP,1013843
Reggie Crawford,SP,1002739
Eric Silva,SP,-1
Trevor McDonald,SP,1008468
Carson Seymour,SP,1011777
Gordon Graceffo,SP,-1
Cooper Hjerpe,SP,19458
Brycen Mautz,SP,10607
Pete Hansen,SP,1005476
Max Rajcic,SP,22175
Mason Montgomery,SP,1009072
Ian Seymour,SP,1011778
Marcus Johnson,SP,1216
Trevor Martin,SP,6398
Brock Porter,SP,1010447
Kumar Rocker,SP,1010938
Tekoah Roby,SP,-1
Mitch Bratt,SP,4961
Emiliano Teodo,SP,3106
Marc Church,RP,2106
Josh Stephan,SP,-1
Brandon Barriera,SP,4878
Hayden Juenger,SP,4893
Dahian Santos,SP,2657
Jarlin Susana,SP,1012642
Zach Brzykcy,RP,19667
Corbin Martin,"SP,RP",19884
Santiago Suarez,SP,2122
Matt Sauer,SP,19705
Braxton Ashcraft,SP,27552
Jake Bennett,SP,-1
Yu-Min Lin,SP,14678
Cole Winn,"SP,RP",19244
Dylan Ray,SP,1009384
Adam Kloffenstein,SP,3568
Yilber Diaz,SP,23003
Walter Ford,SP,-1
Ashton Izzi,SP,3473
Griff McGarry,SP,1008504
Andrew Painter,SP,1675
Marcelo Perez,SP,1010183
Aaron Ashby,SP,23550
Stephen Kolek,SP,19545
Mason Black,SP,1001010
Gerelmi Maldonado,SP,1008016
Landen Roupp,SP,11146
Jacob Miller,SP,3104
Karson Milbrandt,SP,1001351
Cade Povich,SP,1010440
Justin Armbruester,SP,1001592
Trace Bright,SP,-1
Michael Mercado,"SP,RP",8461
Jun-Seok Shim,P,197
David Sandlin,SP,1693
Matt Foster,RP,19647
Luis Gil,SP,21052
Manuel Rodríguez,RP,20794
J.P. Feyereisen,RP,16610
Blake Walston,SP,-1
Kohl Franklin,SP,-1
Ryan Jensen,"SP,RP",1117
Daniel Espino,SP,1003829
Jared Jones,SP,1006583
Jack Kochanowicz,SP,1009824
Antoine Kelly,SP,1006818
Matt Canterino,SP,64
Erik Miller,RP,1008928
Joey Cantillo,SP,-1
Seth Johnson,SP,1006479
Riley O'Brien,P,20348
Andry Lara,SP,1013366
Matthew Thompson,SP,-1
Max Kranick,SP,22175
Tyler Baum,RP,13359
Cole Wilcox,SP,1013939
Cade Cavalli,SP,27473
Clayton Beeter,SP,1007273
Max Meyer,SP,27474
Landon Knack,SP,1529
Jake Brentz,RP,17783
Ricky Vanasco,"SP,RP",3830
Lucas Gilbreath,RP,21290
Christian Roa,SP,16434
Tanner Burns,SP,16990
Dax Fulton,SP,1004404
Mick Abel,SP,3693
Justin Lange,SP,803
Bailey Horn,RP,-1
Tink Hence,SP,1013235
Cole Henry,SP,-1
Anthony Bender,RP,19742
Cody Poteet,RP,18769
Mitch Spence,SP,1012320
Scott Effross,RP,18384
Naoyuki Uwasawa,P,7782
Yariel Rodriguez,P,1011110
Liam Hendriks,RP,3548
Daniel Hudson,RP,7146
Dinelson Lamet,"SP,RP",17186
Michael Lorenzen (Pitcher),"SP,RP",14843
Scott Alexander,"SP,RP",10591
Spencer Turnbull,SP,16207
Ryne Stanek,RP,15947
Dominic Leone,RP,13763
Corey Knebel,RP,15010
Juan Then,RP,22828
Josh Fleming,"SP,RP",20418
